Sport,History,Images_url
BEACH HANDBALL,"Beach Handball
After beach volleyball began to thrive on Italy’s beaches, it inspired the country’s handball players to transfer the game to the sand.

Beach Handball Evolution
In the late 1980s, Italian coach Simonetta Montagni began developing handball on the beach. As the discipline began to grow in popularity, coach Luciano Bartolini was asked to create the first set of rules for the game in 1990, making the fast-paced game fit within the existing beach volleyball court lines.

In 2000, beach handball became an official European Handball Federation (EHF) sport, and the first EHF Beach Handball European Championship was held that year in Gaeta, Italy. The sport was further developed with representatives of the International Handball Federation (IHF), and it began to reach a global audience. In 2004, the first Beach Handball World Championship was held in Egypt, and the first IHF under-17 World Championships were held in Mauritius in 2017. There, Spain won the men’s event and Hungary claimed the women’s gold.",https://th.bing.com/th/id/OIP.8SmUiuSc-Etm-jcfPoKOEAHaEJ?w=307&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
BEACH VOLLEYBALL,"What is Beach Volleyball?
Olympic beach volleyball is a team sport played by two players on each side of a sand court divided by a net. The objective of the game is to hit the ball – with hands or arms only – over the net into the opponents’ court until the other side is unable to return the ball or the ball heads outside of the court lines. Each rally secures one point.

By whom, where and when was Beach Volleyball invented?
Beach volleyball is a variant of the indoor version, invented in 1895 by American gym teacher William G Morgan.

The first recorded game of beach volleyball was at the Outrigger Canoe Club on Waikiki Beach in Hawaii in 1915, when coach and club captain George Center set up a net on the sand and brought out a volleyball to entertain the club members on a day when there was no surf.",https://th.bing.com/th/id/OIP.ZsVOHRyaXzXermFxTiuj_QHaEK?w=320&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
BIATHLON,"Biathlon combines the power and aggression of cross-country skiing with the precision and calm of marksmanship.

Roots in Survival
The word ""biathlon"" stems from the Greek word for two contests, and is today seen as the joining of two sports: skiing and shooting. Biathlon has its roots in survival skills practised in the snow-covered forests of Scandinavia, where people hunted on skis with rifles slung over their shoulders.

Standardising the Rules
In 1948, the Union Internationale de Pentathlon Moderne et Biathlon (UIPMB) was founded to standardise the rules for biathlon and pentathlon. In 1993, the biathlon branch of the UIPMB created the International Biathlon Union (IBU), which officially separated from the UIPMB in 1998.",https://th.bing.com/th/id/OIP.P2k7EzGCiuXXzfVKDqI7bAHaEo?w=296&h=184&c=7&r=0&o=5&dpr=1.3&pid=1.7
BOBSLEIGH,"Bobsleigh is a winter sport invented by the Swiss in the late 1860s, in which teams make timed runs down narrow, twisting, banked, iced tracks in a gravity-powered sled.

19th Century Beginnings
The sport of bobsleigh didn't begin until the late 19th century, when the Swiss attached two skeleton sleds together and added a steering mechanism to make a toboggan. A chassis was added to give protection to wealthy tourists, and the world's first bobsleigh club was founded in St. Moritz, Switzerland in 1897.

Super Heavy
By the 1950s, the critical importance of the start had been recognized, and athletes with explosive strength from other sports were drawn to bobsledding. In 1952, a critical rule change limiting the total weight of crew and sled ended the era of the super-heavyweight bobsledder and rebalanced the sport as an athletic contest.",https://images8.alphacoders.com/442/442515.jpg
BOXING,"What is Boxing?
Boxing is a form of hand-to-hand unarmed combat where one athlete attempts to land punches on the head or body (above waist-height) of the opponent to score points - as decided by judges - or render said opponent unable to continue.

By whom, where and when was Boxing invented?
While the earliest evidence of boxing dates back to Ancient Egypt in around 3000 BC, it was not until the 16th century that 'prizefighting' or bare-knuckle boxing began to spring up, largely in Great Britain.

In 1867, the Marquess of Queensberry rules were published which codified boxing for the first time and mandated the use of boxing gloves.",https://wallpaperaccess.com/full/2302343.jpg
BREAKING,"What is Breaking?
From the streets of New York to the biggest stage in sports: breaking (also known as breakdancing) is an urban dance style that originated in the Bronx borough of New York in the 1970s. It is a form of dance sport that blends urban dance with remarkable athleticism. It emerges from hip hop culture and is characterised by acrobatic movements,

By whom, where and when was Breaking invented?
The earliest proponents of breaking were Black and Puerto Rican youths who formed crews who would compete in dance battles on the streets. Breaking athletes are referred to as “B-Boys”, “B-Girls'' or “breakers”, the “b” standing for break, since athletes put down dance moves during instrumental breaks in a song.

Since its start on the streets, breaking has developed and gained a global following as an art form, intertwining elements of music, dance and athleticism. Within the Olympic movement, breaking is a discipline of the World DanceSport Federation (WDSF) that was founded in 1957. The first WDSF World DanceSport Games were held in 2013 in Chinese Taipei.
",https://sports-images.vice.com/images/2017/04/06/the-battle-for-breaking-and-the-olympics-body-image-1491517800.jpg
CANOE FLATWATER,"What is Canoe Sprint?
Canoe sprint sees competitors race each other on a flatwater course over distances between 200 and 1000 metres.

There are two types of boats: canoes, where the athlete is strapped into the boat in a kneeling position using a single-blade paddle, and kayaks with the athletes seated and employing a double-bladed paddle.

The majority of races are between individuals plus there are also two-person canoe and four-person kayak classes in the Olympic Games.",https://th.bing.com/th/id/OIP.CZA8Kf0epbQAhY6PVRgUNwHaE8?pid=ImgDet&rs=1
CANOE SLALOM,"What is Canoe Slalom?
Canoe slalom sees competitors navigate a whitewater course - up to 300 metres in length - by passing through a maximum 25 upstream and downstream gates in as quick a time as possible.

There are two types of boats: canoes, where the athlete is strapped into the boat in a kneeling position using a single-blade paddle, and kayaks with the athletes seated and employing a double-bladed paddle.

New for Paris 2024 is extreme kayak where, instead of the usual individual challenge against the clock, four athletes race against each other on a shortened course.",https://ichef.bbci.co.uk/images/ic/1008x567/p040py30.jpg
CROSS-COUNTRY SKIING,"Cross-country skiing is the oldest type of skiing. It emerged from a need to travel over snow-covered terrain and developed as a sport at the end of the 19th century.

Norwegian Origins
For centuries in the snow-covered North, skis were required to chase game and gather firewood in winter time. With long distances between the small, isolated communities and hard, snowy winters, skiing also became important as means of keeping in social contact. The word “ski” is a Norwegian word which comes from the Old Norse word “skid”, a split length of wood.

Earliest Form
Different types of skis emerged at various regions at about the same time. One type had a horizontal toe-piece binding. The modern ski bindings are based on the Fennoscandian model of the 19th century. The East-Siberian type was a thin board with a vertical four-hole binding. Sometimes it was covered with fur. The Lapps used a horizontal stem-hole binding. Present-day cross-country skis were developed from the type used by the Lapps.
",https://th.bing.com/th/id/OIP.hUt06jEyNBA2MmBi5tqEDAHaE8?pid=ImgDet&w=960&h=640&rs=1
CURLING,"Curling is a team sport played by two teams of four players on a rectangular sheet of ice. Its nickname, ""the roaring game"", originates from the rumbling sound the 44-pound (19.96kg) granite stones make when they travel across the ice.

Broom or Brush
There are two types of broom. The most common is a brush or ""push broom"". The other is a corn/straw/Canadian broom, which, with long bristles, looks much like a normal broom.

Ice
For indoor tournaments, the artificially created ice has its surface sprinkled with water droplets, which freeze into tiny bumps on the surface. Called ""pebbled ice"", this surface helps the stone's grip and leads to more consistent curling.",https://th.bing.com/th/id/OIP.1TGw7ciHnYYXF6Z0hrtqsQHaE6?w=261&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
"

CYCLING BMX FREESTYLE","What is BMX Freestyle Cycling?
In BMX Freestyle, riders perform routines consisting of sequences of tricks carried out on flat ground, in the streets, on dirt jumps, a halfpipe and/or on constructed ramps. In competition, riders are judged on the quality of their performance.

By whom, where and when was BMX Freestyle Cycling invented?
Bicycle Motocross (BMX) Freestyle quickly developed as a separate discipline from BMX Racing following its start in the 1960s in California.

From 1980 until 1987, BMX Freestyle increased in popularity. The discipline’s founding governing body was first called the Amateur Skate Park Association (ASPA) in 1982, and then a couple years after, it changed to the American Freestyle Association (AFA). Eventually, the discipline became governed by the Union Cycliste Internationale (UCI).
",https://i.pinimg.com/736x/0e/0f/35/0e0f35fdb96c90198deaea8b1937f4ee.jpg
CYCLING BMX RACING,"What is BMX racing?
BMX racing involves up to eight BMX cyclists competing on a single-lap track with straights, jumps and turns. The first across the finish line wins the race.

By whom, where and when was BMX Racing invented?
Bicycle motocross (BMX) started in the late 1960s in California, around the time that motocross became a popular sport in the USA. The motorised version of the sport was the inspiration for the human-powered competition.

BMX racing offered exciting action at a low cost, and the infant sport became an instant hit, especially in California. This led to the foundation of a sanctioning body for BMX in the USA in the early 1970s. Over the following decade, the sport gradually gained in international popularity.",https://i.pinimg.com/originals/d7/9f/9f/d79f9fd088663bba623c9b2c71929837.jpg
CYCLING MOUNTAIN BIKE,"What is Mountain Bike Cycling?
As its name suggests, mountain bike cycling involves cycling off-road on mountainous or very hilly terrain using a specialised bicycle.

By whom, where and when was Mountain Bike Cycling invented?
In the 1970s, mountain biking developed as a fringe sport in California. Taking a bike off-road was nothing new, but the development of a new bike that relished such terrain was; these bikes had fatter tyres, rapid-shift gears, drum brakes and ground-breaking suspension. These bikes gave thrill-seeking cyclists much more freedom, and the sport of mountain biking was born.

The members of the Velo Club Mount Tamalpais in California generally receive the credit for establishing mountain biking as a sport. They invented the Repack Downhill race, held regularly between 1976 and 1979 just across the famous Golden Gate Bridge from San Francisco. The races attracted riders from near and far, and the media soon started taking an interest.
",https://th.bing.com/th/id/OIP.qHveU2aL6R0i1bIw-WHVWwHaD4?w=310&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
CYCLING ROAD,"What is road cycling?
Road cycling involves mass races or time trials raced on usually paved roads, although sometimes also over cobblestones or very occasionally gravel roads.

By whom, where and when was Road Cycling invented?
Bicycles were first developed in the mid-18th century and have been a popular form of transport ever since.

In 1885, cycling took a big leap forward when J.K. Starley devised the chain-and-gearing system. Since then, engineers have embraced modern technology to build ever faster, sleeker and lighter bikes.",https://th.bing.com/th/id/OIP.-Yh2NVurCGefZdHGzcBx0wHaEK?pid=ImgDet&rs=1
CYCLING TRACK,"What is Track Cycling?
Track cycling involves races on bikes set on an oval track, often made of wood and usually indoors but not always, in a velodrome.

By whom, where and when was Track Cycling invented?
Bicycles were first developed in the mid-18th century and have been a popular form of transport ever since.

As early as 1870, track races in England were regularly attracting large crowds. The riders competed on wooden indoor tracks that closely resembled the modern velodromes of today. Such tracks ensured the event could be competed all year round. But for promoters, there was an even greater benefit—spectators could be charged an entrance fee.
",https://sportsshow.net/media/2019/06/_3/760x450/Track-Cycling.jpg
DIVING,"What is Diving?
Diving is a sport where athletes jump or fall into water from a platform or springboard while performing acrobatic routines.

As such, competitors similar characteristics as gymnasts, including strength, flexibility, balance, power, and air awareness.

By whom, where and when was Diving invented?
The sport of diving became popular in Sweden and Germany in the 18th and 19th centuries, and was primarily practised by gymnasts who started performing tumbling routines into the water.",https://i.pinimg.com/736x/67/59/cf/6759cfcd64999381d3dff4004332fc65--olympic-diving--summer-olympics.jpg
EQUESTRIAN,"What is Equestrian?
Equestrian is the broad umbrella term for sport involving riding on horseback.

What are the different types of Equestrian?
There are numerous equestrian disciplines ranging from horse racing and vaulting (gymnastics on horseback) to polo and rodeo.

There are three disciplines in the Olympic Games: dressage, eventing, and jumping (also known as show jumping).
",https://f.vividscreen.info/soft/c8fcd81922831dd853aead5f8acf3c50/Equestrian-Sport-Equitation-1920x1200.jpg
FENCING,"What is Fencing?
Fencing is a combat sport in which two athletes use swords to attack and defend against one another with the aim of striking their opponent in order to score points.

The three disciplines of modern fencing are the foil, the épée, and the sabre (also called saber). Each discipline uses a different kind of blade (which shares the same name) and has unique rules.

By whom, where and when was Fencing invented?
Evidence of sword fights goes back as far as Ancient Egypt in 1190 BC with bouts and duels continuing until the 18th century.
",https://sportzcraazy.com/wp-content/uploads/2018/09/Fencing-Sport.jpg
FIGURE SKATING,"What is figure skating?
Figure skating, as its name suggests, involves skating ""figures"" on ice. The sport requires competitors to skate selected patterns, or figures, as part of their routines. Ice skating has developed from a practical way to get around on ice into the elegant mix of art and sport it is today.

By whom, where and when was figure skating invented? 
The Dutch were arguably the earliest pioneers of skating. They began using canals to maintain communication by skating from village to village as far back as the 13th century. Skating eventually spread across the channel to England, and soon the first clubs and artificial rinks began to form. Passionate skaters included several kings of England, Marie Antoinette, Napoleon III and German writer Johann Wolfgang von Goethe.

Two Americans are responsible for the major developments in the history of the sport. In 1850, Edward Bushnell of Philadelphia revolutionised skating when he introduced steel-bladed skates allowing complex manoeuvres and turns. Jackson Haines, a ballet master living in Vienna in the 1860s, added elements of ballet and dance to give the sport its grace.
",https://th.bing.com/th/id/OIP.cTHnENklTjrSY4GT_C7PrQAAAA?pid=ImgDet&w=400&h=654&rs=1
FOOTBALL,"What is Football?
Football is the most popular sport in the world and sees opposing teams of 11 players try to score goals primarily by use of the feet.

By whom, where and when was Football invented?
Football has its roots in ancient China while the modern version of the game began on the streets of medieval England. Neighbouring towns would play each other in games where a heaving mass of players would struggle to drag a pig’s bladder by any means possible to markers at either end of town.

English football's governing body, the Football Association, codified the laws of the game in 1863.
",https://www.ivacy.com/blog/wp-content/uploads/2016/08/watch-soccer-olympics.jpg
FREESTYLE SKIING,"Freestyle skiing combines speed, showmanship and the ability to perform aerial manoeuvres whilst skiing.

‘Hotdogging’
There are records of people performing somersaults on skis at the beginning of the 20th century in Norway, Italy and Austria, and in the early 1920s, U.S. skiers started to flip and spin. Freestyle skiing really began to take off in America during the 1960s, when social change and freedom of expression together with the advances in ski equipment led to the development of new and exciting skiing techniques. Freestyle skiing was affectionately known as ‘hotdogging’. The name seemed to perfectly capture the breathtaking mix of acrobatic tricks, jumps and sheer adrenalin rush of the sport.

Getting Recognition
Freestyle was recognised as a discipline by the International Ski Federation (FIS) in 1979. The governing body brought in new regulations in an effort to curb some of the more dangerous elements of the infant sport, and the first FIS World Cup series was staged the following year.
",https://i.pinimg.com/originals/84/33/81/8433811b02c6f67b2120baaee300f7b9.jpg
FUTSAL,"Futsal, commonly translated as “indoor football”, comes from the Spanish “fútbol sala” and from the Portuguese “futebol de salão”.

Football Roots
Futsal is a five-a-side format of football, and the only form of indoor football approved by world governing body FIFA. Futsal emphasises technique, creativity, improvisation and ball control.

South American Origins
Futsal’s origins can be traced to South America, where Argentine-born coach Juan Carlos Ceriani devised a variation of the traditional 11-a-side football game for indoor competitions in YMCAs in Montevideo, Uruguay. Meanwhile, in São Paulo, Brazil, a game was also developing on the streets. Futsal soon spread through the continent. Participation continues to grow, and FIFA estimates more than 30 million play futsal globally.
",https://th.bing.com/th/id/OIP.e8aRU1JIDS4NYLMnVjh8UQHaEs?w=256&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
GOLF,"What is Golf?
Golf is a sport where the idea is to hit a ball with a club from the tee into the hole in as few strokes as possible.

By whom, where and when was Golf invented?
Golf is believed to have been practised first in the Netherlands under the name “colf” or “kolven” and arrived in Britain in the 15th century.

Its first rules were established in the Scottish city of St. Andrews, long known as the home of golf, in 1754
",https://th.bing.com/th/id/OIP.fj1jyVjVHxnVxMNS04sdQwHaEK?pid=ImgDet&rs=1
HANDBALL,"What is Handball?
Handball is a fast-paced indoor game where opposing teams try to score by throwing a ball into a football-style goal with posts and a crossbar.

By whom, where and when was Handball invented?
Handball was first played towards the end of the 19th century in Scandinavia and Germany. 'Field handball' - an 11-a-side game played outdoors - was first recognised at the turn of the century, and G. Wallström introduced indoor handball to Sweden in 1910.

Between 1938 and 1966, both forms of handball were played at separate World Championships with indoor handball gaining pre-eminence.
",https://th.bing.com/th/id/OIP.JgYLw021cwcsAsiCeFUUdAHaF0?w=254&h=199&c=7&r=0&o=5&dpr=1.3&pid=1.7
HOCKEY,"What is Field Hockey?
There are two types of hockey – field and ice. Field hockey, played at the Olympic Summer Games, takes place on an artificial-grass pitch where two teams of 11 – 10 infield players and one goalkeeper – compete against each other to score the most goals in the opposing side’s net. Players use a stick with a rounded end to hit a hard ball, slightly larger than a tennis ball.

By whom, where and when was Hockey invented?

A form of hockey has been played in various guises for thousands of years – in Egypt (4,000 years ago), Ethiopia (1,000 BC), and Iran (2,000 BC). The Romans and Greeks, as well as the Aztecs, also played a version of the game but the modern game emerged in England in the mid-19th century.",https://bloximages.newyork1.vip.townnews.com/lancasteronline.com/content/tncms/assets/v3/editorial/8/6f/86f777f6-4ee1-11e6-ab5f-4f68ad2f9ba0/579023ba0b09c.image.jpg?resize=990%2C639
ICE HOCKEY,"What is ice hockey?
Ice hockey is a fast, fluid and exciting team sport featuring two teams of six players (a goaltender and five skaters) on ice. It draws big crowds at the Olympic Games thanks to the drama and tension of the matches.

By whom, where and when was ice hockey invented?
Ice hockey originated in Canada in the early 19th century, based on several similar sports played in Europe, although the word “hockey” comes from the old French word “hocquet”, meaning “stick”. Around 1860, a puck was substituted for a ball, and in 1879, two McGill University students, Robertson and Smith, devised the first rules.

The first recognised team, the McGill University Hockey Club, was formed in 1880 as hockey became the Canadian national sport and spread throughout the country. In 1892, the Governor General of Canada donated the Stanley Cup, which was first won by a team representing the Montreal Amateur Athletic Association.
",https://th.bing.com/th/id/OIP.KbkrU_EHY_CWEKFX4TO8yQHaE7?pid=ImgDet&rs=1
JUDO,"What is Judo?
Judo is a Japanese martial art that focuses on throws and grappling techniques to subdue opponents, with an emphasis on physical fitness, mental discipline, and sportsmanship.

By whom, where and when was Judo invented?
Judo was invented by Jigoro Kano in Japan in 1882 as a safe and effective form of physical education and self-defence based on the principles of maximum efficiency and mutual benefit.

What are the rules of Judo?
In judo points are awarded for throws, holds, and submissions. The aim is to throw the opponent to the ground with force or hold them down for a certain amount of time.",https://s-media-cache-ak0.pinimg.com/originals/ab/fe/4f/abfe4fd96cf8a4a18615cf0ea7b05194.jpg
KARATE,"What is Karate?
Karate is a Japanese martial art that uses striking techniques with hands, feet, elbows, and knees, as well as blocking and grappling, to develop physical and mental discipline.

By whom, where and when was Karate invented?
Karate is an ancient discipline with the roots of its current form originating on the Japanese island of Okinawa during the Ryukyu Dynasty, which was established in the 15th century.

It became popular across Japan in the 1920s and expanded internationally following World War II.",https://wallpapercave.com/wp/wp2612741.jpg
LUGE,"Luge riders hurtle down a slippery ice track at great speed, relying on reflexes for steering. Unlike bobsleigh, however, they have no protection should they make an error.

Swiss Origins
Luge is the French word for “sledge” and, like bobsleigh, it was developed as a sport in Switzerland. Its roots go back to the 16th century, but it was not until 300 years later that the first luge tracks were built by Swiss hotel owners to cater for thrill-seeking tourists.

Davos
The first international race course was held in Davos in 1883, with competitors racing along an icy 4km road between Davos and the village of Klosters.",https://i.pinimg.com/originals/a6/13/87/a61387f781b440ffc48ffd6eced1fdd0.jpg
MARATHON SWIMMING,"What is Marathon Swimming?
Marathon swimming sees athletes take on a 10km course in open water environments such as the sea, rivers and lakes - meaning it is as much a test of mental strength and tactical ability, as it is physical endurance.

The open environment means that athletes must adjust to changing currents, while physical contact between competitors and water stops are a regular occurance.

After approximately two hours of racing there is an exciting sprint finish in the final three kilometres.",https://images.indianexpress.com/2021/08/AP-marathon-swimming-tokyo-olympics-1200.jpg
"

MODERN PENTATHLON","What is Modern Pentathlon?
Modern Pentathlon comprises five different disciplines: swimming, fencing, horse riding (show jumping), pistol shooting and running.

The last two have been combined in recent Olympic Games what is known as the laser run.

By whom, where and when was Modern Pentathlon invented?
The original pentathlon - consisting of running, jumping, spear-throwing, discus and wrestling - was the climax of the Games in Ancient Greece. It held a position of unique importance with the winner ranked as 'Victor Ludorum'.
",https://th.bing.com/th/id/OIP.dbCcZm12ZvL7VTfQjcwHxgHaEf?w=271&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7
NORDIC COMBINED,"This sport, which has a long Olympic history, combines ski jumping and cross-country skiing.

Norwegian Origins
For centuries in the snow-covered North, skis were required to chase game and gather firewood in winter time. With long distances between the small, isolated communities, and hard, snowy winters, skiing also became important as means of keeping in social contact. The word “ski” is a Norwegian word which comes from the Old Norse word “skid”, a split length of wood.

Holmenkollen Ski Festival
The famous Holmenkollen ski festival started in 1892, where the main attraction was the Nordic combined event. The festival proved popular and soon attracted skiers from Sweden and other neighbouring countries. In fact, King Olav V of Norway was himself an able jumper and competed in the Holmenkollen Ski Festival in the 1920s.
",https://i.pinimg.com/originals/21/37/89/2137896119ca956c2986973f8e54a71b.jpg
